species,pokedex_number,type1,type2
bulbasaur,1,grass,poison
ivysaur,2,grass,poison
venusaur,3,grass,poison
charmander,4,fire,
charmeleon,5,fire,
charizard,6,fire,flying
squirtle,7,water,
wartortle,8,water,
blastoise,9,water,
caterpie,10,bug,
metapod,11,bug,
butterfree,12,bug,flying
weedle,13,bug,poison
kakuna,14,bug,poison
beedrill,15,bug,poison
pidgey,16,normal,flying
pidgeotto,17,normal,flying
pidgeot,18,normal,flying
rattata,19,normal,dark
raticate,20,normal,dark
spearow,21,normal,flying
fearow,22,normal,flying
ekans,23,poison,
arbok,24,poison,
pikachu,25,electric,
raichu,26,electric,electric
sandshrew,27,ground,ice
sandslash,28,ground,ice
nidoran_female,29,poison,
nidorina,30,poison,
nidoqueen,31,poison,ground
nidoran_male,32,poison,
nidorino,33,poison,
nidoking,34,poison,ground
clefairy,35,fairy,
clefable,36,fairy,
vulpix,37,fire,ice
ninetales,38,fire,ice
jigglypuff,39,normal,fairy
wigglytuff,40,normal,fairy
zubat,41,poison,flying
golbat,42,poison,flying
oddish,43,grass,poison
gloom,44,grass,poison
vileplume,45,grass,poison
paras,46,bug,grass
parasect,47,bug,grass
venonat,48,bug,poison
venomoth,49,bug,poison
diglett,50,ground,ground
dugtrio,51,ground,ground
meowth,52,normal,dark
persian,53,normal,dark
psyduck,54,water,
golduck,55,water,
mankey,56,fighting,
primeape,57,fighting,
growlithe,58,fire,
arcanine,59,fire,
poliwag,60,water,
poliwhirl,61,water,
poliwrath,62,water,fighting
abra,63,psychic,
kadabra,64,psychic,
alakazam,65,psychic,
machop,66,fighting,
machoke,67,fighting,
machamp,68,fighting,
bellsprout,69,grass,poison
weepinbell,70,grass,poison
victreebel,71,grass,poison
tentacool,72,water,poison
tentacruel,73,water,poison
geodude,74,rock,ground
graveler,75,rock,ground
golem,76,rock,ground
ponyta,77,fire,
rapidash,78,fire,
slowpoke,79,water,psychic
slowbro,80,water,psychic
magnemite,81,electric,steel
magneton,82,electric,steel
farfetch'd,83,normal,flying
doduo,84,normal,flying
dodrio,85,normal,flying
seel,86,water,
dewgong,87,water,ice
grimer,88,poison,poison
muk,89,poison,poison
shellder,90,water,
cloyster,91,water,ice
gastly,92,ghost,poison
haunter,93,ghost,poison
gengar,94,ghost,poison
onix,95,rock,ground
drowzee,96,psychic,
hypno,97,psychic,
krabby,98,water,
kingler,99,water,
voltorb,100,electric,
electrode,101,electric,
exeggcute,102,grass,psychic
exeggutor,103,grass,psychic
cubone,104,ground,
marowak,105,ground,fire
hitmonlee,106,fighting,
hitmonchan,107,fighting,
lickitung,108,normal,
koffing,109,poison,
weezing,110,poison,
rhyhorn,111,ground,rock
rhydon,112,ground,rock
chansey,113,normal,
tangela,114,grass,
kangaskhan,115,normal,
horsea,116,water,
seadra,117,water,
goldeen,118,water,
seaking,119,water,
staryu,120,water,
starmie,121,water,psychic
mr_mime,122,psychic,fairy
scyther,123,bug,flying
jynx,124,ice,psychic
electabuzz,125,electric,
magmar,126,fire,
pinsir,127,bug,
tauros,128,normal,
magikarp,129,water,
gyarados,130,water,flying
lapras,131,water,ice
ditto,132,normal,
eevee,133,normal,
vaporeon,134,water,
jolteon,135,electric,
flareon,136,fire,
porygon,137,normal,
omanyte,138,rock,water
omastar,139,rock,water
kabuto,140,rock,water
kabutops,141,rock,water
aerodactyl,142,rock,flying
snorlax,143,normal,
articuno,144,ice,flying
zapdos,145,electric,flying
moltres,146,fire,flying
dratini,147,dragon,
dragonair,148,dragon,
dragonite,149,dragon,flying
mewtwo,150,psychic,
mew,151,psychic,
chikorita,152,grass,
bayleef,153,grass,
meganium,154,grass,
cyndaquil,155,fire,
quilava,156,fire,
typhlosion,157,fire,
totodile,158,water,
croconaw,159,water,
feraligatr,160,water,
sentret,161,normal,
furret,162,normal,
hoothoot,163,normal,flying
noctowl,164,normal,flying
ledyba,165,bug,flying
ledian,166,bug,flying
spinarak,167,bug,poison
ariados,168,bug,poison
crobat,169,poison,flying
chinchou,170,water,electric
lanturn,171,water,electric
pichu,172,electric,
cleffa,173,fairy,
igglybuff,174,normal,fairy
togepi,175,fairy,
togetic,176,fairy,flying
natu,177,psychic,flying
xatu,178,psychic,flying
mareep,179,electric,
flaaffy,180,electric,
ampharos,181,electric,
bellossom,182,grass,
marill,183,water,fairy
azumarill,184,water,fairy
sudowoodo,185,rock,
politoed,186,water,
hoppip,187,grass,flying
skiploom,188,grass,flying
jumpluff,189,grass,flying
aipom,190,normal,
sunkern,191,grass,
sunflora,192,grass,
yanma,193,bug,flying
wooper,194,water,ground
quagsire,195,water,ground
espeon,196,psychic,
umbreon,197,dark,
murkrow,198,dark,flying
slowking,199,water,psychic
misdreavus,200,ghost,
unown,201,psychic,
wobbuffet,202,psychic,
girafarig,203,normal,psychic
pineco,204,bug,
forretress,205,bug,steel
dunsparce,206,normal,
gligar,207,ground,flying
steelix,208,steel,ground
snubbull,209,fairy,
granbull,210,fairy,
qwilfish,211,water,poison
scizor,212,bug,steel
shuckle,213,bug,rock
heracross,214,bug,fighting
sneasel,215,dark,ice
teddiursa,216,normal,
ursaring,217,normal,
slugma,218,fire,
magcargo,219,fire,rock
swinub,220,ice,ground
piloswine,221,ice,ground
corsola,222,water,rock
remoraid,223,water,
octillery,224,water,
delibird,225,ice,flying
mantine,226,water,flying
skarmory,227,steel,flying
houndour,228,dark,fire
houndoom,229,dark,fire
kingdra,230,water,dragon
phanpy,231,ground,
donphan,232,ground,
porygon2,233,normal,
stantler,234,normal,
smeargle,235,normal,
tyrogue,236,fighting,
hitmontop,237,fighting,
smoochum,238,ice,psychic
elekid,239,electric,
magby,240,fire,
miltank,241,normal,
blissey,242,normal,
raikou,243,electric,
entei,244,fire,
suicune,245,water,
larvitar,246,rock,ground
pupitar,247,rock,ground
tyranitar,248,rock,dark
lugia,249,psychic,flying
ho-oh,250,fire,flying
celebi,251,psychic,grass
treecko,252,grass,
grovyle,253,grass,
sceptile,254,grass,
torchic,255,fire,
combusken,256,fire,fighting
blaziken,257,fire,fighting
mudkip,258,water,
marshtomp,259,water,ground
swampert,260,water,ground
poochyena,261,dark,
mightyena,262,dark,
zigzagoon,263,normal,
linoone,264,normal,
wurmple,265,bug,
silcoon,266,bug,
beautifly,267,bug,flying
cascoon,268,bug,
dustox,269,bug,poison
lotad,270,water,grass
lombre,271,water,grass
ludicolo,272,water,grass
seedot,273,grass,
nuzleaf,274,grass,dark
shiftry,275,grass,dark
taillow,276,normal,flying
swellow,277,normal,flying
wingull,278,water,flying
pelipper,279,water,flying
ralts,280,psychic,fairy
kirlia,281,psychic,fairy
gardevoir,282,psychic,fairy
surskit,283,bug,water
masquerain,284,bug,flying
shroomish,285,grass,
breloom,286,grass,fighting
slakoth,287,normal,
vigoroth,288,normal,
slaking,289,normal,
nincada,290,bug,ground
ninjask,291,bug,flying
shedinja,292,bug,ghost
whismur,293,normal,
loudred,294,normal,
exploud,295,normal,
makuhita,296,fighting,
hariyama,297,fighting,
azurill,298,normal,fairy
nosepass,299,rock,
skitty,300,normal,
delcatty,301,normal,
sableye,302,dark,ghost
mawile,303,steel,fairy
aron,304,steel,rock
lairon,305,steel,rock
aggron,306,steel,rock
meditite,307,fighting,psychic
medicham,308,fighting,psychic
electrike,309,electric,
manectric,310,electric,
plusle,311,electric,
minun,312,electric,
volbeat,313,bug,
illumise,314,bug,
roselia,315,grass,poison
gulpin,316,poison,
swalot,317,poison,
carvanha,318,water,dark
sharpedo,319,water,dark
wailmer,320,water,
wailord,321,water,
numel,322,fire,ground
camerupt,323,fire,ground
torkoal,324,fire,
spoink,325,psychic,
grumpig,326,psychic,
spinda,327,normal,
trapinch,328,ground,
vibrava,329,ground,dragon
flygon,330,ground,dragon
cacnea,331,grass,
cacturne,332,grass,dark
swablu,333,normal,flying
altaria,334,dragon,flying
zangoose,335,normal,
seviper,336,poison,
lunatone,337,rock,psychic
solrock,338,rock,psychic
barboach,339,water,ground
whiscash,340,water,ground
corphish,341,water,
crawdaunt,342,water,dark
baltoy,343,ground,psychic
claydol,344,ground,psychic
lileep,345,rock,grass
cradily,346,rock,grass
anorith,347,rock,bug
armaldo,348,rock,bug
feebas,349,water,
milotic,350,water,
castform,351,normal,
kecleon,352,normal,
shuppet,353,ghost,
banette,354,ghost,
duskull,355,ghost,
dusclops,356,ghost,
tropius,357,grass,flying
chimecho,358,psychic,
absol,359,dark,
wynaut,360,psychic,
snorunt,361,ice,
glalie,362,ice,
spheal,363,ice,water
sealeo,364,ice,water
walrein,365,ice,water
clamperl,366,water,
huntail,367,water,
gorebyss,368,water,
relicanth,369,water,rock
luvdisc,370,water,
bagon,371,dragon,
shelgon,372,dragon,
salamence,373,dragon,flying
beldum,374,steel,psychic
metang,375,steel,psychic
metagross,376,steel,psychic
regirock,377,rock,
regice,378,ice,
registeel,379,steel,
latias,380,dragon,psychic
latios,381,dragon,psychic
kyogre,382,water,
groudon,383,ground,
rayquaza,384,dragon,flying
jirachi,385,steel,psychic
deoxys,386,psychic,
turtwig,387,grass,
grotle,388,grass,
torterra,389,grass,ground
chimchar,390,fire,
monferno,391,fire,fighting
infernape,392,fire,fighting
piplup,393,water,
prinplup,394,water,
empoleon,395,water,steel
starly,396,normal,flying
staravia,397,normal,flying
staraptor,398,normal,flying
bidoof,399,normal,
bibarel,400,normal,water
kricketot,401,bug,
kricketune,402,bug,
shinx,403,electric,
luxio,404,electric,
luxray,405,electric,
budew,406,grass,poison
roserade,407,grass,poison
cranidos,408,rock,
rampardos,409,rock,
shieldon,410,rock,steel
bastiodon,411,rock,steel
burmy,412,bug,
wormadam,413,bug,grass
mothim,414,bug,flying
combee,415,bug,flying
vespiquen,416,bug,flying
pachirisu,417,electric,
buizel,418,water,
floatzel,419,water,
cherubi,420,grass,
cherrim,421,grass,
shellos,422,water,
gastrodon,423,water,ground
ambipom,424,normal,
drifloon,425,ghost,flying
drifblim,426,ghost,flying
buneary,427,normal,
lopunny,428,normal,
mismagius,429,ghost,
honchkrow,430,dark,flying
glameow,431,normal,
purugly,432,normal,
chingling,433,psychic,
stunky,434,poison,dark
skuntank,435,poison,dark
bronzor,436,steel,psychic
bronzong,437,steel,psychic
bonsly,438,rock,
mime jr.,439,psychic,fairy
happiny,440,normal,
chatot,441,normal,flying
spiritomb,442,ghost,dark
gible,443,dragon,ground
gabite,444,dragon,ground
garchomp,445,dragon,ground
munchlax,446,normal,
riolu,447,fighting,
lucario,448,fighting,steel
hippopotas,449,ground,
hippowdon,450,ground,
skorupi,451,poison,bug
drapion,452,poison,dark
croagunk,453,poison,fighting
toxicroak,454,poison,fighting
carnivine,455,grass,
finneon,456,water,
lumineon,457,water,
mantyke,458,water,flying
snover,459,grass,ice
abomasnow,460,grass,ice
weavile,461,dark,ice
magnezone,462,electric,steel
lickilicky,463,normal,
rhyperior,464,ground,rock
tangrowth,465,grass,
electivire,466,electric,
magmortar,467,fire,
togekiss,468,fairy,flying
yanmega,469,bug,flying
leafeon,470,grass,
glaceon,471,ice,
gliscor,472,ground,flying
mamoswine,473,ice,ground
porygon-z,474,normal,
gallade,475,psychic,fighting
probopass,476,rock,steel
dusknoir,477,ghost,
froslass,478,ice,ghost
rotom,479,electric,ghost
uxie,480,psychic,
mesprit,481,psychic,
azelf,482,psychic,
dialga,483,steel,dragon
palkia,484,water,dragon
heatran,485,fire,steel
regigigas,486,normal,
giratina,487,ghost,dragon
cresselia,488,psychic,
phione,489,water,
manaphy,490,water,
darkrai,491,dark,
shaymin,492,grass,grass
arceus,493,normal,
victini,494,psychic,fire
snivy,495,grass,
servine,496,grass,
serperior,497,grass,
tepig,498,fire,
pignite,499,fire,fighting
emboar,500,fire,fighting
oshawott,501,water,
dewott,502,water,
samurott,503,water,
patrat,504,normal,
watchog,505,normal,
lillipup,506,normal,
herdier,507,normal,
stoutland,508,normal,
purrloin,509,dark,
liepard,510,dark,
pansage,511,grass,
simisage,512,grass,
pansear,513,fire,
simisear,514,fire,
panpour,515,water,
simipour,516,water,
munna,517,psychic,
musharna,518,psychic,
pidove,519,normal,flying
tranquill,520,normal,flying
unfezant,521,normal,flying
blitzle,522,electric,
zebstrika,523,electric,
roggenrola,524,rock,
boldore,525,rock,
gigalith,526,rock,
woobat,527,psychic,flying
swoobat,528,psychic,flying
drilbur,529,ground,
excadrill,530,ground,steel
audino,531,normal,
timburr,532,fighting,
gurdurr,533,fighting,
conkeldurr,534,fighting,
tympole,535,water,
palpitoad,536,water,ground
seismitoad,537,water,ground
throh,538,fighting,
sawk,539,fighting,
sewaddle,540,bug,grass
swadloon,541,bug,grass
leavanny,542,bug,grass
venipede,543,bug,poison
whirlipede,544,bug,poison
scolipede,545,bug,poison
cottonee,546,grass,fairy
whimsicott,547,grass,fairy
petilil,548,grass,
lilligant,549,grass,
basculin,550,water,
sandile,551,ground,dark
krokorok,552,ground,dark
krookodile,553,ground,dark
darumaka,554,fire,
darmanitan,555,fire,fire
maractus,556,grass,
dwebble,557,bug,rock
crustle,558,bug,rock
scraggy,559,dark,fighting
scrafty,560,dark,fighting
sigilyph,561,psychic,flying
yamask,562,ghost,
cofagrigus,563,ghost,
tirtouga,564,water,rock
carracosta,565,water,rock
archen,566,rock,flying
archeops,567,rock,flying
trubbish,568,poison,
garbodor,569,poison,
zorua,570,dark,
zoroark,571,dark,
minccino,572,normal,
cinccino,573,normal,
gothita,574,psychic,
gothorita,575,psychic,
gothitelle,576,psychic,
solosis,577,psychic,
duosion,578,psychic,
reuniclus,579,psychic,
ducklett,580,water,flying
swanna,581,water,flying
vanillite,582,ice,
vanillish,583,ice,
vanilluxe,584,ice,
deerling,585,normal,grass
sawsbuck,586,normal,grass
emolga,587,electric,flying
karrablast,588,bug,
escavalier,589,bug,steel
foongus,590,grass,poison
amoonguss,591,grass,poison
frillish,592,water,ghost
jellicent,593,water,ghost
alomomola,594,water,
joltik,595,bug,electric
galvantula,596,bug,electric
ferroseed,597,grass,steel
ferrothorn,598,grass,steel
klink,599,steel,
klang,600,steel,
klinklang,601,steel,
tynamo,602,electric,
eelektrik,603,electric,
eelektross,604,electric,
elgyem,605,psychic,
beheeyem,606,psychic,
litwick,607,ghost,fire
lampent,608,ghost,fire
chandelure,609,ghost,fire
axew,610,dragon,
fraxure,611,dragon,
haxorus,612,dragon,
cubchoo,613,ice,
beartic,614,ice,
cryogonal,615,ice,
shelmet,616,bug,
accelgor,617,bug,
stunfisk,618,ground,electric
mienfoo,619,fighting,
mienshao,620,fighting,
druddigon,621,dragon,
golett,622,ground,ghost
golurk,623,ground,ghost
pawniard,624,dark,steel
bisharp,625,dark,steel
bouffalant,626,normal,
rufflet,627,normal,flying
braviary,628,normal,flying
vullaby,629,dark,flying
mandibuzz,630,dark,flying
heatmor,631,fire,
durant,632,bug,steel
deino,633,dark,dragon
zweilous,634,dark,dragon
hydreigon,635,dark,dragon
larvesta,636,bug,fire
volcarona,637,bug,fire
cobalion,638,steel,fighting
terrakion,639,rock,fighting
virizion,640,grass,fighting
tornadus,641,flying,
thundurus,642,electric,flying
reshiram,643,dragon,fire
zekrom,644,dragon,electric
landorus,645,ground,flying
kyurem,646,dragon,ice
keldeo,647,water,fighting
meloetta,648,normal,psychic
genesect,649,bug,steel
chespin,650,grass,
quilladin,651,grass,
chesnaught,652,grass,fighting
fennekin,653,fire,
braixen,654,fire,
delphox,655,fire,psychic
froakie,656,water,
frogadier,657,water,
greninja,658,water,dark
bunnelby,659,normal,
diggersby,660,normal,ground
fletchling,661,normal,flying
fletchinder,662,fire,flying
talonflame,663,fire,flying
scatterbug,664,bug,
spewpa,665,bug,
vivillon,666,bug,flying
litleo,667,fire,normal
pyroar,668,fire,normal
flabã©bã©,669,fairy,
floette,670,fairy,
florges,671,fairy,
skiddo,672,grass,
gogoat,673,grass,
pancham,674,fighting,
pangoro,675,fighting,dark
furfrou,676,normal,
espurr,677,psychic,
meowstic,678,psychic,
honedge,679,steel,ghost
doublade,680,steel,ghost
aegislash,681,steel,ghost
spritzee,682,fairy,
aromatisse,683,fairy,
swirlix,684,fairy,
slurpuff,685,fairy,
inkay,686,dark,psychic
malamar,687,dark,psychic
binacle,688,rock,water
barbaracle,689,rock,water
skrelp,690,poison,water
dragalge,691,poison,dragon
clauncher,692,water,
clawitzer,693,water,
helioptile,694,electric,normal
heliolisk,695,electric,normal
tyrunt,696,rock,dragon
tyrantrum,697,rock,dragon
amaura,698,rock,ice
aurorus,699,rock,ice
sylveon,700,fairy,
hawlucha,701,fighting,flying
dedenne,702,electric,fairy
carbink,703,rock,fairy
goomy,704,dragon,
sliggoo,705,dragon,
goodra,706,dragon,
klefki,707,steel,fairy
phantump,708,ghost,grass
trevenant,709,ghost,grass
pumpkaboo,710,ghost,grass
gourgeist,711,ghost,grass
bergmite,712,ice,
avalugg,713,ice,
noibat,714,flying,dragon
noivern,715,flying,dragon
xerneas,716,fairy,
yveltal,717,dark,flying
zygarde,718,dragon,ground
diancie,719,rock,fairy
hoopa,720,psychic,ghost
volcanion,721,fire,water
rowlet,722,grass,flying
dartrix,723,grass,flying
decidueye,724,grass,ghost
litten,725,fire,
torracat,726,fire,
incineroar,727,fire,dark
popplio,728,water,
brionne,729,water,
primarina,730,water,fairy
pikipek,731,normal,flying
trumbeak,732,normal,flying
toucannon,733,normal,flying
yungoos,734,normal,
gumshoos,735,normal,
grubbin,736,bug,
charjabug,737,bug,electric
vikavolt,738,bug,electric
crabrawler,739,fighting,
crabominable,740,fighting,ice
oricorio,741,fire,flying
cutiefly,742,bug,fairy
ribombee,743,bug,fairy
rockruff,744,rock,
lycanroc,745,rock,
wishiwashi,746,water,
mareanie,747,poison,water
toxapex,748,poison,water
mudbray,749,ground,
mudsdale,750,ground,
dewpider,751,water,bug
araquanid,752,water,bug
fomantis,753,grass,
lurantis,754,grass,
morelull,755,grass,fairy
shiinotic,756,grass,fairy
salandit,757,poison,fire
salazzle,758,poison,fire
stufful,759,normal,fighting
bewear,760,normal,fighting
bounsweet,761,grass,
steenee,762,grass,
tsareena,763,grass,
comfey,764,fairy,
oranguru,765,normal,psychic
passimian,766,fighting,
wimpod,767,bug,water
golisopod,768,bug,water
sandygast,769,ghost,ground
palossand,770,ghost,ground
pyukumuku,771,water,
type: null,772,normal,
silvally,773,normal,
minior,774,rock,flying
komala,775,normal,
turtonator,776,fire,dragon
togedemaru,777,electric,steel
mimikyu,778,ghost,fairy
bruxish,779,water,psychic
drampa,780,normal,dragon
dhelmise,781,ghost,grass
jangmo-o,782,dragon,
hakamo-o,783,dragon,fighting
kommo-o,784,dragon,fighting
tapu koko,785,electric,fairy
tapu lele,786,psychic,fairy
tapu bulu,787,grass,fairy
tapu fini,788,water,fairy
cosmog,789,psychic,
cosmoem,790,psychic,
solgaleo,791,psychic,steel
lunala,792,psychic,ghost
nihilego,793,rock,poison
buzzwole,794,bug,fighting
pheromosa,795,bug,fighting
xurkitree,796,electric,
celesteela,797,steel,flying
kartana,798,grass,steel
guzzlord,799,dark,dragon
necrozma,800,psychic,
magearna,801,steel,fairy
